Commune;Prixm2_Moy;Code_postal
Porte des bonnevaux;1440.0;38260
Porte des bonnevaux;1440.0;38260
Porte des bonnevaux;1440.0;38260
Porte des bonnevaux;1440.0;38260
Gardanne;3231.0;13120
Gardanne;3231.0;13120
Gardanne;3231.0;13120
Rognes;3841.0;13840
Faches thumesnil;2170.0;59155
Meyreuil;4243.0;13590
Wattignies;2082.0;59139
Branges;1152.0;71500
Louhans;1373.0;71500
Louhans;1373.0;71500
Chassal molinges;1692.0;39360
Chassal molinges;1692.0;39360
Beaufort orbagna;1284.0;39190
Beaufort orbagna;1284.0;39190
Grande riviere chateau;1900.0;39150
Grande riviere chateau;1900.0;39150
Grande riviere chateau;1900.0;39150
Campagnan;1698.0;34230
Saclas;2186.0;91690
Vezelin sur loire;965.0;42590
Vezelin sur loire;965.0;42260
Vezelin sur loire;965.0;42260
Vallee de ronsard;1245.0;41800
Vallee de ronsard;1245.0;41800
Vetre sur anzon;1027.0;42440
Vetre sur anzon;1027.0;42111
Cressensac sarrazac;1630.0;46600
Cressensac sarrazac;1630.0;46600
Barguelonne en quercy;1558.0;46800
Barguelonne en quercy;1558.0;46800
Barguelonne en quercy;1558.0;46800
Plateau d hauteville;1242.0;1110
Plateau d hauteville;1242.0;1110
Plateau d hauteville;1242.0;1110
Plateau d hauteville;1242.0;1110
Condat;957.0;15190
Condat;957.0;46110
Condat;1378.0;15190
Condat;1378.0;46110
Evosges;684.0;1230
Mehun sur yevre;1176.0;18500
Port brillet;893.0;53410
Gonfreville l orcher;2012.0;76700
Gonfreville l orcher;2012.0;76700
Gonfreville l orcher;2012.0;76700
Harfleur;1945.0;76700
Foecy;926.0;18500
Aranc;854.0;1110
Premillieu;1523.0;1110
Malouy;1629.0;27300
Turretot;1834.0;76280
Torsiac;300.0;43450
Brioude;1111.0;43100
Paulhac;389.0;31380
Paulhac;389.0;43100
Paulhac;389.0;15430
Paulhac;834.0;31380
Paulhac;834.0;43100
Paulhac;834.0;15430
Paulhac;2104.0;31380
Paulhac;2104.0;43100
Paulhac;2104.0;15430
Louverne;1628.0;53950
Cohade;710.0;43100
Force;1492.0;53260
Force;1809.0;53260
Force;1574.0;53260
Lorlanges;1337.0;43360
Espalem;1449.0;43450
Ahuille;1503.0;53940
Entrammes;1439.0;53260
Beaumont;722.0;43100
Beaumont;722.0;19390
Beaumont;722.0;63110
Beaumont;722.0;54470
Beaumont;722.0;7110
Beaumont;722.0;32100
Beaumont;722.0;74160
Beaumont;722.0;89250
Beaumont;4288.0;43100
Beaumont;4288.0;19390
Beaumont;4288.0;63110
Beaumont;4288.0;54470
Beaumont;4288.0;7110
Beaumont;4288.0;32100
Beaumont;4288.0;74160
Beaumont;4288.0;89250
Beaumont;841.0;43100
Beaumont;841.0;19390
Beaumont;841.0;63110
Beaumont;841.0;54470
Beaumont;841.0;7110
Beaumont;841.0;32100
Beaumont;841.0;74160
Beaumont;841.0;89250
Beaumont;1067.0;43100
Beaumont;1067.0;19390
